config,model,f1,accuracy,recall
GenAI-Only,RandomForest,0.4,0.7446808510638298,0.2857142857142857
GenAI-Only,XGBoost,0.35294117647058826,0.7659574468085106,0.21428571428571427
Hybrid-Optimized,RandomForest,0.21052631578947364,0.6808510638297872,0.14285714285714285
Hybrid-Optimized,XGBoost,0.16666666666666666,0.574468085106383,0.14285714285714285
Baseline (All Trad),XGBoost,0.10526315789473682,0.6382978723404256,0.07142857142857142
Baseline (All Trad),RandomForest,0.0,0.7021276595744681,0.0
